Address,Voi,Algo,Total
IICAB345T3BQTQVTKUI24CV2VPEKBTVWGUCXXNTVXX2NNQDUMZBLTDOPAM,0,27004.14379,27004.14379
T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,0,26936.417,26936.417
Q6MZQCQB7CKIDNUSQEGFBWQESF2P5AOIYOC25IRMSCYLGJ2OTB5ZC7XUXQ,0,26642.01135,26642.01135
6VYSJP4UXMTJLQDJ4F3QX26LGKG5USZQRGAVEFNFQNYW7PSZGCFSSB4VOE,0,26605.3696,26605.3696
YFBHPZOOFBYJF4XNS3425RM3G2NOKNBK675HOIRTFV27IAS6AP4ZOWNDPU,0,26592.26742,26592.26742
WI4NQTWPDW27AKUTSHHMKOPO2U5S7ZJXZPMI7E6U4V54REJMCW3PH2RNEM,0,26548.81396,26548.81396
NCRDMHNAV2R7UOYEB6BSTNJ63W66B67ON3QJEHNITCQ3QM57RUDO3CUWIU,0,26523.48319,26523.48319
NFPOQYBCFLCMOP5LEKTJ3DSJH52M7L2G6GHEZE4DO5FX72SPXJDKICBQ7U,0,26439.94455,26439.94455
SQSOP6WEUBYS2F5WWO2CN5AHWYRHLJOZB34PZRNZNM3YBXSF4RVCRMTE6U,0,26416.10242,26416.10242
V6TJNILOYYT2QIY3VGVKOTKOPPHPFH3PYUAJRUGLNBZGNYQH6FUDEBUQSI,0,26414.40812,26414.40812
DG5GQ7PMJPQA73LWZGUZCQ4DBPODUXNH6VLLDBNOIJFYBP5UC4KXXRS7DI,26338.72204,0,26338.72204
I26BHULCOKKBNFF3KEXVH3KWMBK3VWJFKQXYOKFLW4UAET4U4MESL3BIP4,0,26297.38483,26297.38483
D3S6VBVPDD2Y2SNYFAT65AL25KUCKMY5IYM7RK3N4LMJIW44G2OWKBRSOI,0,26280.87369,26280.87369
TINYGRZLXA3SNQ5LF4BCPKVUGPBC6VCVQB2O7KBAP7AXPE2NMX5RSJM5NE,0,26253.46286,26253.46286
3CB65CM65MJQ44RVHVSHCVD5HIVB75SQRSSMMBWHCILW56RBEMIYDWZ4KI,0,26090.81398,26090.81398
EWHH2BSQUP2MQDB4EBX2GAJGK6EWDEVXCWBXCFNK3DL6BWVOLK6WT747NM,0,26082.62865,26082.62865
SCHUF5FTBJ4FGA7EDCY2RJGSLUDOM6552DOBEBCLP3VMFW5QW74S3ZIEWA,0,25896.04192,25896.04192
UOJ2KKFFJBLZFPTLPLH6JRUDLLJL7HCOWWZNLPE6IN7M7LFT4UYRTFBSXQ,0,25812.03671,25812.03671
AOWPM5GWX2QDQGNLQ4L46FIZ6WRTVB4F5F5OQN3DHTMEAHZFUM6GG7ICUM,0,25727.84778,25727.84778
JNQERB2XW2ZULWULOJ4AAJXXDZNFKZJOXFPQDCOYJCLP6B6IAOHDW4CE3Q,0,25692.15829,25692.15829
5DGTKVS34SWF55P5Q3SZSXFRGMHQIOR7BZNJC5V34GZNW227GE5GLUU2UQ,0,25529.84661,25529.84661
OVUVTLXRXYH7REG42YRBXZ7DTKAMXXINCCBJAVQIXWW5VRGYTPHZPPLIPA,0,25527.0427,25527.0427
26PMQHMQ535BK6LTG3KISW5NZILJ6DPWZ6CXI263OZQW7MR56WXTF3YCVQ,0,25447.02092,25447.02092
CBFBQLTD67PIH2B2YO4NZEU5OZDTDWY7SDKDJBAOJUDXGTP2HEOY3AIDZU,0,25415.8546,25415.8546
5MPYZCD3QVYPN7VOM5RMKTWVBZH6UKMXVEKGH4OIMDNAUBPQ5ONLK2HIDY,0,25392.03573,25392.03573
LPZW3S5C6SEBQSRNCIGZNBDWZR552VY4ZRJBH27E65SJNFPB3MKTH3RNVY,0,25356.76148,25356.76148
2HYTI5GAB3WAJL5MZKQYUHZHYQJBEUD54OQNFZNBCPZXFPVDZOSCGUNORU,0,25343.97641,25343.97641
ZQIBTCZXBKFVLK374ACGIGQDYPHB4VIDFP6NRSFSGDEK7I3W5MUMIWSAJY,0,25337.77782,25337.77782
DN3GDAD5422DII5CYA3ZKJNNJIN4BK3VKEVGSLA27IVKYWPBP5GX7K6PGA,0,25325.87807,25325.87807
P6O7FIPGQZX6UTH2TZXFF7RCKLUR4NKMQ7NLK5ZBMR36BLA6LESTCOKYDE,0,25319.85644,25319.85644
LZTWSOM5DQ6FI2KQ63EK6BERE3P7V6IFKHIHDXWUJUTURN4CR7DPEYW5BI,0,25303.49776,25303.49776
HLUHD6V3CDMAPKPKY34ML3BQUZ4IPSKLCCAJIP26FBPCW5AJMFS554UAVE,0,25201.92407,25201.92407
7UBGYVIHJKBIDSVZABRZSGAMN55HZSBX4MK3VBCHVM6F7OIWSGEN3Z75L4,0,25194.37244,25194.37244
IJSKKWTYMIDKPZ335EYRDZDX4MTYCRLJPKHGMHJQXD4N3TIV272CDJ2V3U,0,25192.56158,25192.56158
OTYTLNLXSMX36TTS6TX7WHDBZVEIQN6DMULWWFSM6OYE6PLPB7V4R4CRSI,0,25146.20456,25146.20456
PZAZVO2WC7BJEYT5OIBEDP7JXBKQ7W4A4JPCEVHVQ2K4RKH2H6OPWPXR7E,0,25104.81011,25104.81011
4PZR6ZPDAARBEEFAWAU67IPEBKBCZ3R2XFH75XVJHKBYTDYRSCMLMUXSAI,0,25055.34287,25055.34287
DBLDOQQRDHYGJSEJ7NHM4MWZLJJEO6NGRCCGG4MXFK6FRU5UTRK2R4BY44,0,25030.772,25030.772
SVL5W3TJ7JE7Z4NSG5UBQ3UDZLXGURZM2WM5FX4HYXUVX364SKTUUHLALQ,0,25017.59925,25017.59925
IB7PDYX4TFOJ2K2WZAIYO3DLPPDSCWUNKG6FWAILFUCY7HI3GUJZBCYUAU,0,25003.5247,25003.5247
LJE4V4P2UT6E3QNVBZVSRE6RTQ2U7NQ73RWMVEV54IMCJ5BTVKZICQVHLI,0,24992.18534,24992.18534
Q2ZOKV42FKP4BGFOMKML5DC6XU6WF3UKC2RCICQL6UVUO5WKH5XTKHMVNY,0,24990.91081,24990.91081
WYANFT3NIE7D2TXFXMN2P3FQXJHALPTSPEWS3KC2VIGJJCN26H3JRJPBSY,0,24984.48479,24984.48479
VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,24980.75535,0,24980.75535
NWRWPPBEAZ33NCS2O4L3UDK66T5MWP5WP2OPZE7H526ZUSSG6WRYD72UZ4,0,24931.22007,24931.22007
YXQW2HVIDAVGMQ524YBQ4UWBUBY4LWGMZ72CMOATVXHI7AMJFU6M62VT6I,0,24888.32611,24888.32611
LXUTB24U5OES3D4ZOOQKYY6DISYD7TIYCT5XXJKC36HUT4XLLMGVCORKNM,0,24775.53302,24775.53302
OCNWHLM2ULOE45HJDTXFZXJQHYLJVLPL6GF5RUIDVBK2XAZFSNIHWU6MEU,0,24745.66149,24745.66149
DHM46BE6WIKSQ6IRIVGQKG4B74LBZMGIGOMTAQOXELZ2C4DNTEWCBOOWVU,0,24722.14591,24722.14591
LHZ2QVBSA5FVZA7U7KL4WNXGUMD34PYBYS7Z6YVJYYULMVAZ3X52NFKY5E,0,24712.71656,24712.71656
WEYY7HZRQJBUVQCRVWBXLJAJR4ZMV4F2VRUT6P6QRYL4REDJKAVEHTKXKA,0,24697.90434,24697.90434
62AWBG3VJZI3SD2WUYD36YM7H5VXN5TVZPQZNXG3D7AP4T7NWF7QX2FFKU,0,24677.90576,24677.90576
YFWCUHKY7KLXA4LP7KS6JXJ3SZNB2OD4KSOIKSTX4A4L3DE3HW5MRAEZYU,0,24656.91162,24656.91162
I77LVYINF4OPB5B3XZOQKN5N2BL25DODE4NUPA337UVC6NI6DYSHRP67QU,0,24584.7516,24584.7516
MYR5RKUMRD7G2WWHWTDJ7JORNYNF62LDYMQ5IPAINOFZAGHICSMBF5YR4I,0,24569.39846,24569.39846
XYEJCACB6BF2NU32K5UL37TN24SNBFURVEYUFQ2RR2XEHKUOZH5WSZTM7U,0,24551.85318,24551.85318
QJ2F4CV6DRDBY3XO7SYGFNZID77KFEOXJQONTYT6H3N72CCB74Z36BM3XY,0,24544.89599,24544.89599
2DWJTYRZHRKSGLVUD36XXBDHLAJNC2RHNFVCPUSVRKB6ZP5FFDOOIFCXVA,0,24529.61743,24529.61743
KQ4G7SLB7LCSKCOLEAAB2KH6JLIESGAISNM4OIKFSKL3KFOMITVOHI5PNQ,0,24477.55196,24477.55196
DGLTCFMANL2SMLVIAZ4KC2KIXSV7NSW27Y5SR23TKF5F64R5RKRPJJKC2I,0,24473.2989,24473.2989
LADLSF4VSQPXZ4EPR6ZFDYECT2Q7AO6QWSWWAYV6ZYEVZY4K4LU6IA3GXM,0,24452.87213,24452.87213
G43EZZHFQ7RE5TICKQKHBHRG6W37CA6LJVAYMW5SV2Q25NHNCHERF5EGTA,0,24445.82883,24445.82883
PHS6I4S33DEQJTIISGO7ASXCZHHGAJX7HJ6MKRYBWIMKA4CWDS4MYM74XY,0,24441.12767,24441.12767
4PUQRJCNRRDJXNZ5BQMZ7QAZOWJIFQ5A7BFU5MYRAYAYJ3OCJB6SSIVHUE,0,24439.91095,24439.91095
26UKDK5GFAXIMWBM6S7ITFOSBY7WUN5IT5Z25I5FWBGMLDN7DSUKEXRPZE,0,24416.01371,24416.01371
ZT3KE6STP7SPDMYYZV7SLKVBMNXXLBSQM4BQI6ZE2UX5OUZGNQVTUP4PZI,0,24399.61183,24399.61183
EQEEEKNU2UDHLLU6WGKBIWAGGTVSHEQOS3SCWZWMU3ZHWN3QN5S5DIWWEA,0,24397.58781,24397.58781
RLKMDETO4TWL2P6VP5PVL4S3RP4TSVTJW72YTLBN2NN5RTGX663PIU7PLI,0,24396.8748,24396.8748
7XOIV2FFZUL4ZMYDCBJPLHGD4NHSWVMYLEZ3IFB626KHDWH3FOJPC3QAWU,0,24394.5902,24394.5902
GKLOC5VG6MZDJD4EUXDTDH5NOBH6UVGMGVJYYV2A7CJVXZT3H4UJOKS3TY,0,24369.38232,24369.38232
WUP3WHCW26QR26EW524KVQIZ6WNCWBGH7ZJDCQN7ESBQSNHLTTHB3S5INM,0,24363.11188,24363.11188
77ZVDC7KKNDAIFDZDAOJY4EY54TMFZRHNHWSIKSEHH5I7BMALFCREYNBCU,0,24303.95189,24303.95189
QE4MX3QRGH5CNJRGYDSW7JAKDEAM7JJT3E4FDQT67S52VK6MSECBJBLPAI,0,24294.23206,24294.23206
NGWVGT6UPAHIKQGNAOJB6NYD65JYUO7QOY7T3WZBLGWIIMCKQUWLZPDJ7U,0,24289.13454,24289.13454
